0
Қичқириқ
Чоштепа
Бешёғоч
Гулсанам
Алпомиш
Фазогир
Кўҳна Қумариқ
Ахмад Яссавий
Муқимий
Шофайзи
Уччинор
Яккасарой
Бодомзор
Султонобод
Сузукота
Гўзал
Мискин
Юнусобод
Бешкапа
Заминобод
Белариқ
Суғдиёна
Мустақил юрт
Истиқлолобод
Увайсий
Олий Химмат
Бешқайрағоч
Тахтапул
Бектемир
Сарбон
Баркамол маҳалла
Алишеробод
Қурувчилар
Йўлайриқ
Олтинтепа
Авайхон
Чаманзор
Товкенттепа
Хамид Сулаймонов
Оққўрғон
Беҳизор
Давлатобод
Олтин Водий
Ялонғоч
Катта Дўмбиробод
Олмос
Мирзо Улуғбек
Кўксарой
Мухандислар
Тўқимачи
Тинчликобод
Кўкча Оқтепа
Софдил
Дарё бўйи
Тараққиёт
Хамкоробод
Гулбоғ
Адолат
Пасткиюз
Катта Қозиробод
Қуёш
Лашкарбеги
Шарқ-Хақиқати
Садоқат
Мерос
Бекобод
Посира
Махмур
Жар-Ариқ маҳалла
Бобур аҳоли яшаш пункти
Мевазор
Жўнариқ
Ракат
Мусаффо
Турон
Катта Чилонзор-3
Дўстобод
Университет
Банокатий
Темирйўлчилар
Чинор (Миробод тумани)
Зарқўрғон
Катта Олтинтепа
Ўзбекистон
Гавхар
Катта Ялонғоч ота
Абдулла Қаххор
Бойсун
Минг Ўрик
Ибрат (Янгиҳаёт тумани)
Шофайиз боғи
Тирсакобод
Хондамир
Бойқўрғон
Мумтоз
Алишер Навоий
Олчазор
Хувайдо
Обиназир
Феруза
Олмачи
Подшобоғ
Кушкоргон
Бирлашган
Баратхўжа
Тинчлик
Ал-Бухорий
Оқтепа (Юнусобод тумани)
Кўхна Чўпон ота
Катта Оқтепа
Ҳайратий
Чиғатой-Оқтепа
Янги Тошкент
Наврўзобод
Пахта
Боғичинор
Яккабоғ
Хонобод-1
Хумо
Юқори Дархон
Бобур маҳалла
Янги Замон
Чилонзор
Гулбозор
Нилуфар
Қозигузар
Дамариқ
Илтифот
Хайробод
Илғор
Жалоир (Сергели тумани)
Дархон
Конституция
Тикланиш
Шохсанам
Биллур
Гузарбоши
Ифтихор
Чуқурсой
Мунавварқори
Ҳамдўст
Лабзак
Тракторсозлар
Фароғатли
Иноқобод
Бободехкон
Юсуф Саккокий
Чилтўғон
Донишманд
Наврўз
Катта Чилонзор-1
Йўлдош
Байналминал
Ислом Ота
Ўзбекистон мустақиллиги
Яланғоч массив
Нўғайқўрғон маҳалласи
Қўштут
Эски шаҳар
Шафтолизор
Фирдавсий
Яккатут
Эзгулик
Каттабоғ
Обод
Зафаробод
Катта Қорасув
Мададкор
Зийнат
Навқирон
Ғайратий
Катта Қаъни
Дўмбиробод
Катта Янгиобод
Зарафшон маҳалла
Ракатбоши
Гулзор (Олмазор тумани)
Турк - Қўрғон
Чўпон-Ота (Учтепа тумани)
Номданак
Халқлар Дўстлиги
Новза
Асака
Хиёбон тепа
Ачаобод
Нурмакон
Буюк ипак йўли
Журжоний
Қўйлиқобод
Аллон
Баҳор
Ғани Аъзамов
Наққошлик
Камолон
Янги Авайхон
Тепагузар
Янгитарнов
Қорасарой
Машинасозлар
Олим Хўжаев
Боғишамол
Истиқбол
Маннон Уйғур
Шарқ Юлдузи
Янгинур
Кичик Хирмонтепа
Умид
Отчопар-1
Хонободтепа
Анорзор
Янгиқўрғон
Мажнунтол
Исломобод
Тонг Юлдузи
Зархал
Боғи эрам
Қатортол-2 маҳалла
Нишаб ариқ
Навниҳол
Сайрам
Ибрат (Учтепа тумани)
Ахиллик
Чархновза
Кўкча Дарвоза
Юнус Ражабий
Бешчинор
Найман
Қадрдон
Астробод
Уста Ширин
Фидойилар
Кўтарма
Жарқўрғон
Туркистон
Гузар маҳалла
Чақар
Оқтепа (Чилонзор тумани)
Хасанбой
Беруний
Иқтидор
Янги Турмуш
Катта Хасанбой
Ташаббус
Ниҳол
Кўкча
Чимбой
Шайх-Шивли
Акбаробод
Оқибат
Катта Чилонзор-2
Боғобод
Абдулла Авлоний
Ўрикзор
Дегрез
Моҳирлар
Ал-Фаробий
Қўшчинор
Дилбулоқ
Хуросон
Асробод
Геофизика
Боғсарой
Янгиобод
Фарҳод
Афросиёб
Отчопар-2
Юзработ
Жангоҳ
Шукур Бурхонов
Ойдинкўл
Регистон
Заргарлик
Саховат
Заковат
Чимён
Навбаҳор
Хумоюн
Севинч
Буюк Турон
Нафосат
Ал-Фарғоний
Лолазор
Бунёдкор
Кулолқўрғон
Тўй тепа
Фаровон
Ҳилол
Султония
Иброхим ота
Ахилобод
Парвоз
Шалола
Шохжахон
Алимкент
Ширин
